# Sea-level and Deep Water Temperature 430KYr Reconstructions
# -----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
# -----------------------------------------------------------------------
# NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!
#
#
# NAME OF DATA SET:
# Sea-level and Deep Water Temperature 430KYr Reconstructions
#
# LAST UPDATE: 11/2010 (Original receipt by WDC Paleo)
# CONTRIBUTORS: Waelbroeck, C., L. Labeyrie, E. Michel, J.C. Duplessy,
# J. McManus, K. Lambeck, E. Balbon, and M. Labracherie.
# IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2010-126
#
#
# WDC PALEO CONTRIBUTION SERIES CITATION:
# Waelbroeck, C., et al. 2010.
# Sea-level and Deep Water Temperature 430KYr Reconstructions.
# IGBP PAGES/World Data Center for Paleoclimatology
# Data Contribution Series # 2010-126.
# NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.
#
#
# ORIGINAL REFERENCE:
# Waelbroeck, C., L. Labeyrie, E. Michel, J.C. Duplessy, J. McManus,
# K. Lambeck, E. Balbon, and M. Labracherie. 2002.
# Sea-level and deep water temperature changes derived from benthic
# foraminifera isotopic records.
# Quaternary Science Reviews, Vol. 21, pp. 295-305.
#
# ABSTRACT:
# We show that robust regressions can be established between relative
# sea-level (RSL) data and benthic foraminifera oxygen isotopic ratios
# from the North Atlantic and Equatorial Pacific Ocean over the last
# climatic cycle. We then apply these regressions to long benthic
# isotopic records retrieved at one North Atlantic and one Equatorial
# Pacific site to build a composite RSL curve, as well as the
# associated confidence interval, over the last four climatic cycles.
# Our proposed reconstruction of RSL is in good agreement with
# the sparse RSL data available prior to the last climatic cycle.
# We compute bottom water temperature changes at the two sites
# and at one Southern Indian Ocean site, taking into account potential
# variations in North Atlantic local deep-water d18O. Our results
# indicate that a Last Glacial Maximum (LGM) enrichment of the ocean
# mean oxygen isotopic ratio of 0.95% is the lowest value compatible
# with unfrozen deep waters in the Southern Indian Ocean if local deep
# water d18O did not increase during glacials with respect to present.
# Such a value of the LGM mean ocean isotopic enrichment would impose
# a maximum decrease in local bottom water d18O at the North Atlantic
# site of 0.30% during glacials.
#
#
# ADDITIONAL REFERENCE:
# Martinson, D.G., N.G. Pisias, J.D. Hays, J. Imbrie,
# T.C. Moore, and N.J. Shackleton. 1987.
# Age dating and the orbital theory of the ice ages:
# development ofa high-resolution 0 to 300 000 year chronostratigraphy.
# Quaternary Research, Vol. 27, pp. 1-29.
#
#
# GEOGRAPHIC REGION: Global
# PERIOD OF RECORD: 430 ky BP - present
#
# FUNDING SOURCES:
# This work was supported by the French CNRS, INSU, CEA, and IPEV.
#
#
# DESCRIPTION:
# Reconstructed global mean ocean d18O and sea level, plus computed
# deep water temperature for the North Atlantic, South Indian, and
# Equatorial Pacific Oceans, derived from benthic foraminifera oxygen
# isotopes, as described in Waelbroeck et al. (2002).  Age model
# is based on 14C then SPECMAP, and has been adjusted around
# Termination II to be consistent with coral U-Th dates.
#
# North Atlantic deep water temperature is derived from a splice of
# benthic d18O records from 3 neighboring cores: NA87-22 (55�30'N,
# 14�42'W, 2161 m), NA87-25 (55�12'N, 14�45'W, 2320 m), and ODP980
# (55�29'N, 14�42'W, 2179 m). South Indian site deep water
# temperature is derived from core MD94-101 (42�30'S, 79�25'E, 2920 m)
# benthic d18O. Equatorial Pacific deep water temperature is derived
# from a splice of benthic d18O records from 2 neighboring cores:
# V19-30 (03�21'S, 83�21'W, 3091 m) and ODP677 (01�12'N, 83�44'W, 3461 m).
#
#
#
#
# DATA:
# 1. Global mean ocean d18O and sea level
#
# Column 1: Calendar age (14C + SPECMAP), adjusted at Termination II
#           to be consistent with corals U-Th dates, cal. ky BP
# Column 2: Mean ocean d18O, per mil SMOW
# Column 3: Minimum mean ocean d18O, per mil SMOW
# Column 4: Maximum mean ocean d18O, per mil SMOW
# Column 5: Global mean sea level, m below present sea level
# Column 6: Minimum global mean sea level, m below present sea level
# Column 7: Maximum global mean sea level, m below present sea level
# Column 8: Alternate age model 1, 14C + SPECMAP, no Termination II Adjustment
# Column 9: Alternate age model 2, adjusted to Martinson et al. (1987) time scale, prior to 33 ky BP only
# Column 10: Alternate age model 3, adjusted to Martinson et al. (1987) time scale all the way
#
#               Mean ocean d18O              Relative Sea Level             Alternate Age Models
Age      d18Ow    d18Ow-   d18Ow+       RSL       RSL-       RSL+    Alt.Age1  Alt.Age2  Alt.Age3
0.5       0.00     0.00     0.00       0.00       0.00       0.00         0.5     0.21     0.21
2         0.00     0.00     0.00      -0.15      -0.15      -0.15           2     1.71     1.71
3.5       0.01     0.00     0.02      -1.18       0.00      -2.36         3.5     3.21     3.21
5         0.02     0.01     0.03      -2.51      -1.33      -3.69           5     4.71     4.71
6.5       0.04     0.02     0.06      -4.87      -2.51      -7.24         6.5     6.21     6.21
8         0.08     0.03     0.13      -9.74      -3.84     -15.66           8     7.71     7.71
9.5       0.21     0.10     0.32     -24.34     -11.38     -37.38         9.5     9.21     9.21
11        0.38     0.27     0.49     -44.99     -32.06     -58.06          11    10.71    10.71
12.5      0.57     0.46     0.68     -67.26     -54.36     -80.36        12.5    12.21    12.21
14        0.75     0.64     0.86     -88.94     -76.08    -102.08          14    13.71    13.71
15.5      0.89     0.78     1.00    -105.17     -92.33    -118.33        15.5    15.21    15.21
17        0.97     0.86     1.08    -114.17    -101.34    -127.34          17    16.71    16.71
18.5      1.02     0.91     1.13    -120.07    -107.25    -133.25        18.5    18.21    17.91
20        1.04     0.93     1.15    -123.02    -110.20    -136.20          20    19.71    18.90
21.5      1.02     0.91     1.13    -120.51    -107.69    -133.69        21.5    21.21    19.89
23        1.00     0.89     1.11    -117.71    -104.89    -130.89          23    22.71    20.89
24.5      0.96     0.85     1.07    -112.99    -100.16    -126.16        24.5    24.21    21.88
26        0.90     0.79     1.01    -106.20     -93.36    -119.52          26    25.71    22.87
27.5      0.84     0.73     0.95     -98.53     -85.68    -111.68        27.5    27.21    23.87
29        0.75     0.62     0.86     -88.06     -73.33    -101.19          29    28.71    24.86
30.5      0.69     0.58     0.80     -81.72     -68.74     -94.84        30.5    30.21    26.67
32        0.67     0.56     0.78     -78.47     -65.59     -91.59          32    31.71    28.48
33.5      0.67     0.56     0.78     -79.21     -66.33     -92.33        33.5    33.21    30.29
35        0.68     0.57     0.79     -80.68     -67.81     -93.81          35    34.29    31.60
36.5      0.66     0.55     0.77     -78.03     -65.15     -91.15        36.5    35.38    32.91
38        0.57     0.46     0.68     -66.73     -53.84     -79.84          38    36.46    34.22
39.5      0.53     0.42     0.64     -62.11     -49.21     -75.21        39.5    37.55    35.53
41        0.57     0.46     0.68     -67.82     -54.93     -80.93          41    38.63    36.83
42.5      0.62     0.51     0.73     -73.54     -60.66     -86.66        42.5    39.71    38.14
44        0.64     0.53     0.75     -75.60     -62.71     -88.71          44    40.80    39.45
45.5      0.62     0.51     0.73     -73.49     -60.60     -86.60        45.5    41.88    40.76
47        0.62     0.51     0.73     -73.22     -60.34     -86.34          47    42.96    42.07
48.5      0.63     0.52     0.74     -74.00     -61.11     -87.11        48.5    44.05    43.38
50        0.61     0.50     0.72     -71.61     -58.72     -84.72          50    45.13    44.68
51.5      0.58     0.47     0.69     -68.87     -55.97     -81.97        51.5    46.22    45.99
53        0.49     0.38     0.60     -57.56     -44.65     -70.65          53    47.30    47.30
54.5      0.44     0.33     0.55     -52.09     -39.17     -65.17        54.5    49.02    49.02
56        0.47     0.36     0.58     -55.90     -42.99     -68.99          56    50.73    50.73
57.5      0.51     0.40     0.62     -60.54     -47.63     -73.63        57.5    52.45    52.45
59        0.48     0.37     0.59     -56.20     -43.29     -69.29          59    54.17    54.17
60.5      0.41     0.30     0.55     -48.02     -35.09     -64.70        60.5    55.88    55.88
62        0.46     0.35     0.57     -54.74     -41.82     -67.82          62    57.60    57.60
63.5      0.63     0.52     0.74     -74.58     -61.70     -87.70        63.5    59.85    59.85
65        0.72     0.52     0.83     -84.65     -61.60     -97.78          65    62.11    62.11
66.5      0.71     0.50     0.82     -84.36     -59.53     -97.49        66.5    64.36    64.36
68        0.66     0.51     0.77     -78.05     -60.42     -91.17          68    66.61    66.61
69.5      0.65     0.53     0.76     -76.38     -62.05     -89.49        69.5    68.87    68.87
71        0.62     0.51     0.73     -72.77     -59.83     -85.88          71    71.12    71.12
72.5      0.57     0.46     0.68     -67.31     -53.92     -80.41        72.5    72.62    72.62
74        0.38     0.27     0.49     -44.38     -31.45     -57.45          74    74.11    74.11
75.5      0.34     0.23     0.45     -39.62     -26.68     -52.68        75.5    75.61    75.61
77        0.31     0.20     0.42     -36.31     -23.37     -49.37          77    77.11    77.11
78.5      0.22     0.11     0.33     -25.43     -12.47     -38.47        78.5    78.60    78.60
80        0.17     0.06     0.28     -19.70      -6.73     -32.73          80    80.10    80.10
81.5      0.16     0.05     0.27     -18.67      -5.70     -31.70        81.5    81.60    81.60
